Run,Alias,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Description,diss_oxygen,ENA_CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,env_biome,env_feature,env_package,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,nitrate,Organism,phosphate,Platform,ReleaseDate,salinity,sample_acc,Sample Name,sample_name,silicate,SRA_accession,SRA Study,temp,title,total_depth_water_col,chlorophyll
ERR833296,jcvi_cn_GS023_0.1,WGS,1628,PRJEB8968,SAMEA3313091,J CRAIG VENTER INSTITUTE,2004-01-21T21:00:00+00:00,public,"fastq,sra","s3,ena,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",1.9,"Water sample taken on 2004-01-21T21:00:00+00:00 from site GS023 (lat:5.646666667\, long:-86.58033333)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through...",6.5,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913386,uncalculated,uncalculated,"North Pacific Ocean:Cocos Islands Marine Ecoregion:30mi from Cocos Island\, Costa Rica",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:19Z,public,AB 3730xL Genetic Analyzer,5.646666667 N 86.58033333 W,GS023_0.1_sanger_2.2KB,PAIRED,RANDOM,GENOMIC,104,70,0.052,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,32.6,ERS689153,SAMEA3313091,ERS689153,1.1,ERS689153,ERP010013,28.7,GS023 0.1µm,1100,0.07
ERR833298,jcvi_cn_GS025_0.8,WGS,1618,PRJEB8968,SAMEA3313093,J CRAIG VENTER INSTITUTE,2004-01-28T16:51:00+00:00,public,"sra,fastq","ncbi,ena,gs,s3","ncbi.public,gs.US,s3.us-east-1,ena",0.98,"Water sample taken on 2004-01-28T16:51:00+00:00 from site GS025 (lat:5.5\, long:-87.06666667)\, 0.8µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µm\, 0....",6.5,ERC000011,2015-09-05,2018-11-16,ocean biome,fringing reef,water,ERX913388,uncalculated,uncalculated,"North Pacific Ocean:Cocos Islands Marine Ecoregion:Dirty Rock\, Cocos Island\, Costa Rica",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:19Z,public,AB 3730xL Genetic Analyzer,5.5 N 87.06666667 W,GS025_0.8_sanger_2.2KB,PAIRED,RANDOM,GENOMIC,93,63,0.11,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,31.4,ERS689155,SAMEA3313093,ERS689155,0.73,ERS689155,ERP010013,28.3,GS025 0.8µm,2400,0.11
ERR833300,jcvi_cn_GS026_0.1,WGS,1580,PRJEB8968,SAMEA3313094,J CRAIG VENTER INSTITUTE,2004-02-01T22:16:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",1.8,"Water sample taken on 2004-02-01T22:16:00+00:00 from site GS026 (lat:1.278566667\, long:-89.30646667)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through...",6,ERC000011,2015-09-05,2018-11-16,ocean biome,open ocean,water,ERX913390,uncalculated,uncalculated,North Pacific Ocean:Northern Galapagos Islands Marine Ecoregion:134mi N of Galapagos Islands,J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:20Z,2018-03-09T13:30:50Z,public,AB 3730xL Genetic Analyzer,1.278566667 N 89.30646667 W,GS026_0.1_sanger_1.6KB,PAIRED,RANDOM,GENOMIC,76,52,0.33,marine metagenome,0,CAPILLARY,2015-09-06T00:00:00Z,32.6,ERS689156,SAMEA3313094,ERS689156,0.33,ERS689156,ERP010013,27.8,GS026 0.1µm,2400,0.22
ERR833302,jcvi_cn_GS028_0.1,WGS,1666,PRJEB8968,SAMEA3313096,J CRAIG VENTER INSTITUTE,2004-02-04T21:47:00+00:00,public,"fastq,sra","ena,ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1,ena",1.8,"Water sample taken on 2004-02-04T21:47:00+00:00 from site GS028 (lat:-1.221\, long:-90.32293333)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µm\,...",4.5,ERC000011,2015-09-05,2018-11-16,ocean biome,coastal ocean,water,ERX913392,uncalculated,uncalculated,"South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:Off the coast of Floreana Island\, Galapagos",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:20Z,public,AB 3730xL Genetic Analyzer,1.221 S 90.32293333 W,GS028_0.1_sanger_2.0KB,PAIRED,RANDOM,GENOMIC,154,102,5.8,marine metagenome,0.12,CAPILLARY,2015-09-06T00:00:00Z,34,ERS689158,SAMEA3313096,ERS689158,1,ERS689158,ERP010013,25.6,GS028 0.1µm,160,0.35
ERR833306,jcvi_cn_GS031_0.1,WGS,1621,PRJEB8968,SAMEA3313099,J CRAIG VENTER INSTITUTE,2004-02-10T20:43:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",11,"Water sample taken on 2004-02-10T20:43:00+00:00 from site GS031 (lat:-0.319333333\, long:-91.65343333)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",3.3,ERC000011,2015-09-05,2018-11-16,ocean biome,coastal upwelling,water,ERX913396,uncalculated,uncalculated,"South Pacific Ocean:Western Galapagos Islands Marine Ecoregion:Off the coast of Fernandina Island\, Galapagos",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:20Z,public,AB 3730xL Genetic Analyzer,0.319333333 S 91.65343333 W,GS031_0.1_sanger_1.8KB,PAIRED,RANDOM,GENOMIC,342,232,11.7,marine metagenome,0.66,CAPILLARY,2015-09-06T00:00:00Z,34.9,ERS689161,SAMEA3313099,ERS689161,4.7,ERS689161,ERP010013,18.6,GS031 0.1µm,19,0.35
ERR833307,jcvi_cn_GS032_0.1,WGS,1717,PRJEB8968,SAMEA3313100,J CRAIG VENTER INSTITUTE,2004-02-11T17:30:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",0.3,"Water sample taken on 2004-02-11T17:30:00+00:00 from site GS032 (lat:-0.604733333\, long:-91.07216667)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",2.52,ERC000011,2015-09-05,2018-11-16,ocean biome,other: mangrove,water,ERX913397,uncalculated,uncalculated,"South Pacific Ocean:Western Galapagos Islands Marine Ecoregion:Mangrove swamp on Isabella Island\, Galapagos",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:20Z,public,AB 3730xL Genetic Analyzer,0.604733333 S 91.07216667 W,GS032_0.1_sanger_1.3KB,PAIRED,RANDOM,GENOMIC,0,0,11.3,marine metagenome,0.69,CAPILLARY,2015-09-06T00:00:00Z,33.8,ERS689162,SAMEA3313100,ERS689162,76.8,ERS689162,ERP010013,25.4,GS032 0.1µm,0.67,3.8
ERR833308,jcvi_cn_GS032_0.1,WGS,1701,PRJEB8968,SAMEA3313100,J CRAIG VENTER INSTITUTE,2004-02-11T17:30:00+00:00,public,"fastq,sra","gs,ncbi,s3,ena","gs.US,s3.us-east-1,ena,ncbi.public",0.3,"Water sample taken on 2004-02-11T17:30:00+00:00 from site GS032 (lat:-0.604733333\, long:-91.07216667)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration throug...",2.52,ERC000011,2015-09-05,2018-11-16,ocean biome,other: mangrove,water,ERX913398,uncalculated,uncalculated,"South Pacific Ocean:Western Galapagos Islands Marine Ecoregion:Mangrove swamp on Isabella Island\, Galapagos",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:20Z,public,AB 3730xL Genetic Analyzer,0.604733333 S 91.07216667 W,GS032_0.1_sanger_1.6KB,PAIRED,RANDOM,GENOMIC,117,76,11.3,marine metagenome,0.69,CAPILLARY,2015-09-06T00:00:00Z,33.8,ERS689162,SAMEA3313100,ERS689162,76.8,ERS689162,ERP010013,25.4,GS032 0.1µm,0.67,3.8
ERR833310,jcvi_cn_GS033_0.1,WGS,1585,PRJEB8968,SAMEA3313101,J CRAIG VENTER INSTITUTE,2004-02-17T19:35:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",0.16,"Water sample taken on 2004-02-17T19:35:00+00:00 from site GS033 (lat:-1.24\, long:-90.44166667)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µm\, ...",0.6,ERC000011,2015-09-05,2018-11-16,ocean biome,hypersaline pond,water,ERX913400,uncalculated,uncalculated,"South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:Punta Cormorant lagoon\, Floreana\, Galapagos",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:20Z,public,AB 3730xL Genetic Analyzer,1.24 S 90.44166667 W,GS033_0.1_sanger_40.0KB,PAIRED,RANDOM,GENOMIC,34,22,0.23,marine metagenome,0.68,CAPILLARY,2015-09-06T00:00:00Z,33.8,ERS689163,SAMEA3313101,ERS689163,45.4,ERS689163,ERP010013,37.6,GS033 0.1µm,0.33,0.31
ERR833312,jcvi_cn_GS035_0.1,WGS,1639,PRJEB8968,SAMEA3313103,J CRAIG VENTER INSTITUTE,2004-03-01T22:44:00+00:00,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",1.5,"Water sample taken on 2004-03-01T22:44:00+00:00 from site GS035 (lat:1.394766667\, long:-91.82133333)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through...",7.4,ERC000011,2015-09-05,2018-11-16,ocean biome,coastal ocean,water,ERX913402,uncalculated,uncalculated,"North Pacific Ocean:Northern Galapagos Islands Marine Ecoregion:Wolf Island\, Galapagos",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:20Z,public,AB 3730xL Genetic Analyzer,1.394766667 N 91.82133333 W,GS035_0.1_sanger_1.5KB,PAIRED,RANDOM,GENOMIC,111,75,7.4,marine metagenome,0.46,CAPILLARY,2015-09-06T00:00:00Z,34.5,ERS689165,SAMEA3313103,ERS689165,2.6,ERS689165,ERP010013,21.8,GS035 0.1µm,71,0.28
ERR833313,jcvi_cn_GS036_0.1,WGS,1672,PRJEB8968,SAMEA3313104,J CRAIG VENTER INSTITUTE,2004-03-02T18:52:00+00:00,public,"fastq,sra","ncbi,ena,gs,s3","gs.US,s3.us-east-1,ncbi.public,ena",2,"Water sample taken on 2004-03-02T18:52:00+00:00 from site GS036 (lat:-0.024933333\, long:-91.2122)\, 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter\, then size-fractionating by serial filtration through 3µ...",8.5,ERC000011,2015-09-05,2018-11-16,ocean biome,coastal ocean,water,ERX913403,uncalculated,uncalculated,"South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:Isabella Island\, Galapagos",J CRAIG VENTER INSTITUTE,J CRAIG VENTER INSTITUTE,2015-09-05T17:02:17Z,2018-03-09T13:23:21Z,public,AB 3730xL Genetic Analyzer,0.024933333 S 91.2122 W,GS036_0.1_sanger_2.2KB,PAIRED,RANDOM,GENOMIC,63,42,2.9,marine metagenome,0.16,CAPILLARY,2015-09-06T00:00:00Z,34.6,ERS689166,SAMEA3313104,ERS689166,1.9,ERS689166,ERP010013,25.8,GS036 0.1µm,67,0.65
